_id,scientific_name,common_name,date,year,range,description,type,latitude,longitude,latlong,continent,country,size,commonSMame,common_SMme,image
57bcaf7e7v658b5320d3f835,Tarbosaurus bataar,Tarbosaurus,0001-01-01T00:00:00Z,-66 Million BC,"Asia, North America",Some scientists consider Tarbosaurus bataar from Asia to be a second Tyrannosaurus species while others maintain Tarbosaurus is a separate genus.,reptile,47,124,"47,124",Asia,RU,LG,,,
50bbaf7e7v658b5320d3f835,Xenomorphus Thingus,The Thing,0100-01-01T00:00:00Z,Year: Unknown,Range: Unknown,"Little is known of this rumored entity, thought to be encountered by a Norwegian Antarctic Research team. We have just dispatched the American team to check up on the Norwegian teams latest status.",marine,-80,-159,"-80,-159",Antarctica,US,MD,,,
57abaf7e7v658b5320d3f835,Raphus cucullatus,The Dodo,1750-01-01T00:00:00Z,1750,Mauritius,"The dodo (Raphus cucullatus) is an extinct flightless bird that was endemic to the island of Mauritius, east of Madagascar in the Indian Ocean.",air,-19.99,58.42,"-19.99,58.42",Africa,FJ,MD,,,
57ab8c5b1eff02897b163ed1,Tachybaptus rufolavatus,Alaotra grebe,1980-01-01T00:00:00Z,1980,Madagascar,--,air,-18.76,46.86,"-18.76,46.86",Africa,MG,SM,,,
57ab8c5b1eff02897b163ed2,Nesillas aldabrana,Aldabra brush-warbler,1980-01-01T00:00:00Z,1980,Seychelles,--,air,-4.65,55.47,"-4.65,55.47",Africa,SC,SM,,,
57ab8c5b1eff02897b163ed3,Mundia elpenor,Ascension flightless crake,1650-01-01T00:00:00Z,1650,United Kingdom (Ascension),--,air,-15.98,-5.7,"-15.90,-5.70",Africa,SH,SM,,,
57ab8c5b1eff02897b163ed4,Nycticorax olsoni,Ascension night heron,1600-01-01T00:00:00Z,1600,United Kingdom (Ascension),--,air,-15.98,-5.7,"-15.90,-5.70",Africa,SH,SM,,,
57ab8c5b1eff02897b163ed5,Lophopsittacus mauritianus,Broad-billed parrot,1680-01-01T00:00:00Z,1680,Mauritius,--,air,-20.34,57.55,"-20.34,57.55",Africa,MU,SM,,,
57ab8c5b1eff02897b163ed6,Haematopus meadewaldoi,Canary Islands oystercatcher,1940-01-01T00:00:00Z,1940,Spain (Canary Islands),--,air,28.29,-16.62,"28.29,-16.62",Europe,ES,SM,,,
57ab8c5b1eff02897b163ed7,Coturnix gomerae,Canary Islands quail,1870-01-01T00:00:00Z,1870,Spain (Canary Islands),This quail was most likely still present in the Canary Islands after humans settled there. Cats could have been one of the causes of the disappearance of some little flying birds like the Canary Islands quail.,air,-15.98,-5.71,"-15.98,-5.71",Europe,ES,SM,,,
57ab8c5b1eff02897b163ed8,Dysmoropelia dekarchiskos,Saint Helena dove,1500-01-01T00:00:00Z,1500,United Kingdom (Saint Helena),--,air,-15.98,-5.71,"-15.98,-5.71",Africa,SH,SM,,,
57ab8c5b1eff02897b163ed9,Upupa antaios,Saint Helena hoopoe,1500-01-01T00:00:00Z,1500,United Kingdom (Saint Helena),--,air,-15.98,-5.71,"-15.98,-5.71",Africa,SH,SM,,,
57ab8c5b1eff02897b163eda,Porzana astrictocarpus,Saint Helena rail,1500-01-01T00:00:00Z,1500,United Kingdom (Saint Helena),--,air,-15.98,-5.71,"-15.98,-5.71",Africa,SH,SM,,,
57ab8c5b1eff02897b163edb,Psittacula wardis,Seychelles parakeet,1880-01-01T00:00:00Z,1880,Seychelles,--,air,-4.6,55.47,"-4.60,55.47",Africa,SE,SM,,,
